"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify that Example5 parsing fails with an incorrect host","77","testExample5WrongHost","","Wed Nov 27 01:23:07 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample5WrongHost"
"Test to verify Example5 deeplink parsing with specific host","0","testExample5","","Wed Nov 27 01:23:08 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample5"
"Test to verify Example3 deeplink parsing with parameters","2","testExample3","","Wed Nov 27 01:23:08 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample3"
"Test to verify Example1 deeplink parsing from URL","40","testExample1","","Wed Nov 27 01:23:08 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample1"
"Test to verify Example2 deeplink parsing from URL","1","testExample2","","Wed Nov 27 01:23:08 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample2"
"Test to verify Example4 deeplink parsing with locale and query parameters","9","testExample4","","Wed Nov 27 01:23:08 GMT 2024","passed","Wed Nov 27 01:23:08 GMT 2024","","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","com.ziina.library.deeplinkgenerator.DeeplinkImplTest","testExample4"
